Algorithm,Time (s),Work Units,OPS
A*,0.0034,1013,297941.18
A*,0.0031,1013,326774.19
A*,0.0032,1013,316562.5
A*,0.0034,1013,297941.18
A*,0.0031,1013,326774.19
A*,0.0035,1013,289428.57
A*,0.0032,1013,316562.5
Dijkstra,0.0027,992,367407.41
Dijkstra,0.0026,992,381538.46
Dijkstra,0.0028,992,354285.71
Dijkstra,0.0027,992,367407.41
Dijkstra,0.0027,992,367407.41
Dijkstra,0.0031,992,320000.0
Dijkstra,0.0028,992,354285.71
AD*,0.0137,825,60218.98
AD*,0.0136,825,60661.76
AD*,0.014,825,58928.57
AD*,0.0135,825,61111.11
AD*,0.0167,825,49401.2
AD*,0.0147,825,56122.45
GA,0.3468,5000,14417.53
SA,0.1612,1334,8275.43
SA,0.1891,1334,7054.47
SSA,3.7764,20000,5296.05
SSA,3.6913,20000,5418.15
A*,0.0063,971,154126.98
A*,0.006,971,161833.33
Dijkstra,0.0028,931,332500.0
Dijkstra,0.0025,931,372400.0
AD*,0.0133,806,60601.5
AD*,0.0128,806,62968.75
AD*,0.0131,806,61526.72
GA,0.0765,900,11764.71
GA,0.0703,900,12802.28
GA,0.0712,900,12640.45
GA,0.0694,900,12968.3
GA,0.0711,900,12658.23
GA,0.0673,900,13372.96
GA,0.0737,900,12211.67
GA,0.0717,900,12552.3
GA,0.0722,900,12465.37
GA,0.0747,900,12048.19
GA,0.0729,900,12345.68
A*,0.0056,948,169285.71
A*,0.0033,948,287272.73
Dijkstra,0.0027,962,356296.3
Dijkstra,0.0027,962,356296.3
AD*,0.0133,825,62030.08
AD*,0.014,825,58928.57
AD*,0.0138,825,59782.61
GA,0.5395,5000,9267.84
A*,0.0059,970,164406.78
Dijkstra,0.0027,930,344444.44
Dijkstra,0.0026,930,357692.31
Dijkstra,0.003,930,310000.0
AD*,0.013,808,62153.85
AD*,0.0129,808,62635.66
GA,0.1352,900,6656.8
GA,0.1271,900,7081.04
