Iteration,Best Cost,Algorithm
0,1146.5404787645055,GA
1,1099.6827153351855,GA
2,959.2628708315988,GA
3,773.4139160225576,GA
4,771.3451160225576,GA
5,771.3451160225576,GA
6,771.3451160225576,GA
7,726.669991807002,GA
8,726.669991807002,GA
9,726.669991807002,GA
10,726.669991807002,GA
11,675.1787121065569,GA
12,674.8694121065569,GA
13,674.8694121065569,GA
14,575.1695708155671,GA
15,566.9555708155672,GA
16,564.8801337187865,GA
17,455.42215684535904,GA
18,455.42215684535904,GA
19,455.42215684535904,GA
20,428.4566,GA
21,423.8853,GA
22,380.7610298050514,GA
23,314.5437,GA
24,314.5437,GA
25,309.8579,GA
26,285.2621,GA
27,285.2621,GA
28,285.2621,GA
29,285.2621,GA
30,273.8315,GA
31,273.8315,GA
32,273.8315,GA
33,273.8315,GA
34,269.1537,GA
35,269.1537,GA
36,269.1537,GA
37,266.6848,GA
38,266.6848,GA
39,266.6848,GA
40,264.2223,GA
41,264.2223,GA
42,264.2223,GA
43,264.2223,GA
44,264.2223,GA
45,264.2223,GA
46,264.2223,GA
47,264.2223,GA
48,264.2223,GA
49,231.8834,GA
50,231.8834,GA
51,231.8834,GA
52,231.8834,GA
53,231.8834,GA
54,231.8834,GA
55,228.362,GA
56,228.362,GA
57,228.362,GA
58,228.362,GA
59,228.362,GA
60,160.4806,GA
61,160.4806,GA
62,160.4806,GA
63,151.3188,GA
64,151.3188,GA
65,151.3188,GA
66,151.3188,GA
67,150.0318,GA
68,150.0318,GA
69,147.5607,GA
70,147.5607,GA
71,147.5607,GA
72,147.5607,GA
73,147.5607,GA
74,147.5607,GA
75,147.5607,GA
76,147.5607,GA
77,147.5607,GA
78,147.5156,GA
79,147.5156,GA
80,147.5156,GA
81,147.5156,GA
82,147.5156,GA
83,147.5156,GA
84,147.5156,GA
85,147.5156,GA
86,147.5156,GA
87,147.5156,GA
88,147.5156,GA
89,147.5156,GA
