Iteration,Best Cost,Algorithm
0,841.1109909777921,SSA
1,813.546749025257,SSA
2,737.4163152620633,SSA
3,611.8916894151541,SSA
4,611.8916894151541,SSA
5,611.8916894151541,SSA
6,576.3008,SSA
7,545.6468765278394,SSA
8,545.6468765278394,SSA
9,545.6468765278394,SSA
10,545.6468765278394,SSA
11,545.6468765278394,SSA
12,535.8079902771997,SSA
13,535.8079902771997,SSA
14,535.8079902771997,SSA
15,535.8079902771997,SSA
16,472.8341786499874,SSA
17,472.8341786499874,SSA
18,277.8792,SSA
19,277.8792,SSA
20,277.8792,SSA
21,277.8792,SSA
22,277.8792,SSA
23,259.6799,SSA
24,259.6799,SSA
25,259.6799,SSA
26,259.6799,SSA
27,259.6799,SSA
28,259.6799,SSA
29,259.6799,SSA
30,259.6799,SSA
31,259.6799,SSA
32,259.6799,SSA
33,259.6799,SSA
34,259.6799,SSA
35,259.6799,SSA
36,259.6799,SSA
37,259.6799,SSA
38,259.6799,SSA
39,259.6799,SSA
40,259.6799,SSA
41,259.6799,SSA
42,259.6799,SSA
43,259.6799,SSA
44,259.6799,SSA
45,259.6799,SSA
46,259.6799,SSA
47,259.6799,SSA
48,259.6799,SSA
49,259.6799,SSA
50,259.6799,SSA
51,259.6799,SSA
52,259.6799,SSA
53,259.6799,SSA
54,259.6799,SSA
55,259.6799,SSA
56,259.6799,SSA
57,259.6799,SSA
58,259.6799,SSA
59,259.6799,SSA
60,259.6799,SSA
61,259.6799,SSA
62,259.6799,SSA
63,259.6799,SSA
64,259.6799,SSA
65,259.6799,SSA
66,259.6799,SSA
67,259.6799,SSA
68,259.6799,SSA
69,259.6799,SSA
70,259.6799,SSA
71,259.6799,SSA
72,259.6799,SSA
73,259.6799,SSA
74,259.6799,SSA
75,259.6799,SSA
76,259.6799,SSA
77,259.6799,SSA
78,259.6799,SSA
79,259.6799,SSA
80,259.6799,SSA
81,259.6799,SSA
82,259.6799,SSA
83,259.6799,SSA
84,259.6799,SSA
85,259.6799,SSA
86,259.6799,SSA
87,259.6799,SSA
88,259.6799,SSA
89,259.6799,SSA
90,259.6799,SSA
91,259.6799,SSA
92,259.6799,SSA
93,259.6799,SSA
94,259.6799,SSA
95,259.6799,SSA
96,259.6799,SSA
97,259.6799,SSA
98,259.6799,SSA
99,259.6799,SSA
100,259.6799,SSA
101,259.6799,SSA
102,259.6799,SSA
103,259.6799,SSA
104,259.6799,SSA
105,259.6799,SSA
106,259.6799,SSA
107,259.6799,SSA
108,259.6799,SSA
109,259.6799,SSA
110,259.6799,SSA
111,259.6799,SSA
112,259.6799,SSA
113,259.6799,SSA
114,259.6799,SSA
115,259.6799,SSA
116,259.6799,SSA
117,259.6799,SSA
118,259.6799,SSA
119,259.6799,SSA
120,259.6799,SSA
121,259.6799,SSA
122,259.6799,SSA
123,259.6799,SSA
124,259.6799,SSA
125,259.6799,SSA
126,259.6799,SSA
127,259.6799,SSA
128,259.6799,SSA
129,259.6799,SSA
130,259.6799,SSA
131,259.6799,SSA
132,259.6799,SSA
133,259.6799,SSA
134,259.6799,SSA
135,259.6799,SSA
136,259.6799,SSA
137,259.6799,SSA
138,259.6799,SSA
139,259.6799,SSA
140,259.6799,SSA
141,259.6799,SSA
142,259.6799,SSA
143,259.6799,SSA
144,259.6799,SSA
145,259.6799,SSA
146,259.6799,SSA
147,259.6799,SSA
148,259.6799,SSA
149,259.6799,SSA
150,259.6799,SSA
151,259.6799,SSA
152,259.6799,SSA
153,259.6799,SSA
154,259.6799,SSA
155,259.6799,SSA
156,259.6799,SSA
157,259.6799,SSA
158,259.6799,SSA
159,259.6799,SSA
160,259.6799,SSA
161,259.6799,SSA
162,259.6799,SSA
163,259.6799,SSA
164,259.6799,SSA
165,259.6799,SSA
166,259.6799,SSA
167,259.6799,SSA
168,259.6799,SSA
169,259.6799,SSA
170,259.6799,SSA
171,259.6799,SSA
172,259.6799,SSA
173,259.6799,SSA
174,259.6799,SSA
175,259.6799,SSA
176,259.6799,SSA
177,259.6799,SSA
178,259.6799,SSA
179,259.6799,SSA
180,259.6799,SSA
181,259.6799,SSA
182,259.6799,SSA
183,259.6799,SSA
184,259.6799,SSA
185,259.6799,SSA
186,259.6799,SSA
187,259.6799,SSA
188,259.6799,SSA
189,259.6799,SSA
190,259.6799,SSA
191,259.6799,SSA
192,259.6799,SSA
193,259.6799,SSA
194,259.6799,SSA
195,259.6799,SSA
196,259.6799,SSA
197,259.6799,SSA
198,259.6799,SSA
199,259.6799,SSA
200,259.6799,SSA
